id,kat_1_1,kat_2_1,kat_3_1,kat_1_2,kat_2_2,kat_3_2,kat_1_3,kat_2_3,kat_3_3,kat_1_4,kat_2_4,kat_3_4,kat_1_5,kat_2_5,kat_3_5,kat_1_6,kat_2_6,kat_3_6,kat_1_7,kat_2_7,kat_3_7
AT1G64380.1,4.2496,5.6845,4.7231,4.9792,3.7108,3.7859,3.1395,3.0145,3.7402,2.3148,1.6126,3.3729,2.1353,1.8882,2.2891,3.3178,3.1459,3.2976,7.6736,9.5962,7.0598
AT1G74840.1,68.5078,66.9269,95.775,43.7282,40.9438,60.9782,31.2178,31.1125,60.4339,32.2287,36.5748,52.3534,38.8925,33.9902,64.2889,47.4005,52.6801,79.6531,59.9157,73.5643,76.8858
AT1G74840.2,71.6168,70.4324,101.6745,45.7358,42.9439,64.0777,32.6806,32.7051,63.8437,33.6799,38.5596,55.645,40.5814,35.5051,67.7897,49.516,55.3064,84.2115,62.7012,77.5219,81.2415
AT2G23340.1,3.8011,5.3381,3.2811,3.9535,5.653,4.0034,3.8781,3.4248,2.9679,2.5376,2.4893,2.066,4.3297,4.3159,3.17,6.4876,5.978,3.5813,4.2789,7.19,5.9427
AT3G06740.1,5.6737,6.8077,7.6891,7.3899,5.3431,6.0664,6.1772,4.2805,4.9381,4.5437,3.5886,5.0114,6.0168,4.7276,6.8035,7.481,4.6969,6.0008,7.556,6.9949,8.5541
AT3G19580.2,10.4102,12.4461,9.8162,13.2291,12.5464,10.1271,9.5403,10.0955,7.8973,7.8147,6.399,5.9077,6.5575,6.5334,4.8467,6.8283,6.3253,5.3235,9.3622,11.3632,7.343
AT3G19580.1,10.7456,12.3082,9.9941,12.9673,12.3659,10.0685,9.4357,10.015,8.0618,7.8909,6.7024,6.1911,6.3112,6.4394,4.8011,6.674,6.3083,5.4661,9.3775,11.3472,7.4604
AT3G49930.1,8.7394,10.6998,8.56,9.5853,10.085,9.37,5.8635,6.7995,7.2084,5.5371,5.8939,5.3993,7.7432,5.4412,9.6361,7.935,6.0855,8.69,7.4827,8.0512,7.3184
AT3G58190.1,1.1618,1.0539,1.4438,0.8906,1.2472,1.7084,0.5605,1.0605,1.1716,0.6847,0.7288,0.5205,0.4127,0.3964,0.8722,0.4612,0.3544,0.5478,0.1729,0.3412,0.4485
AT3G60390.1,12.514,14.6557,16.5846,15.6651,14.2696,11.7647,13.2393,9.1664,11.1122,9.1892,7.8253,9.3706,10.5096,7.5526,10.2129,9.7392,8.6993,8.5656,11.5062,9.6051,9.735
AT3G61630.1,6.8956,8.9295,12.6151,6.5925,6.8351,10.4019,6.8583,6.3701,8.3447,3.3364,4.4821,4.6144,7.3924,5.9654,6.2203,8.502,7.5329,7.2902,9.725,8.1756,7.6321
AT4G28110.1,1.1763,1.6213,2.4591,1.9498,1.4038,1.694,0.6819,1.3498,0.6995,0.4004,0.4733,0.9402,0.1832,0.2675,0.5261,0.0383,0.1042,0.0517,0.068,0.1516,0.0736
AT4G31550.1,21.8026,25.8329,25.7778,28.6724,27.8101,29.6932,21.2099,20.2962,22.3179,14.7885,13.7642,20.3269,16.9928,15.0514,24.9931,19.5084,19.8484,20.3999,19.3714,22.7934,19.9139
AT4G31550.2,22.1801,26.3399,26.3197,29.3445,28.3764,30.3131,21.6959,20.7603,22.8715,15.1763,14.044,20.6427,17.3758,15.3189,25.4402,19.8916,20.221,20.8694,19.7643,23.1582,20.4049
AT4G37540.1,21.0778,17.4808,22.365,19.2616,20.6436,26.7559,16.7175,15.9058,18.6705,10.6753,15.6183,12.374,15.6538,12.5475,22.0717,17.9266,20.0263,20.6047,21.6097,20.0621,23.4357
AT5G06710.1,1.0079,0.7866,1.2756,0.8278,0.7329,0.7095,0.4863,0.7079,0.7652,0.4293,0.5972,0.6179,0.4338,0.2648,1.2305,0.4722,0.614,0.8292,0.8213,0.8058,0.7288
AT5G08330.1,19.5378,22.1369,15.8237,22.7278,23.778,17.4942,17.4826,23.2746,12.4076,13.5071,12.7272,8.3719,13.2679,12.064,8.0976,15.5536,12.2123,9.349,17.0564,17.5006,12.154
AT5G41570.1,0.8555,1.0949,1.1074,0.9512,1.0761,1.3103,0.8377,0.7978,0.3919,0.3156,0.6707,0.2144,0.3454,0.1409,0.6691,0.398,0.2449,0.6899,0.0406,0.1077,0.1297
AT5G47640.1,23.9411,25.3203,20.9218,20.5146,22.6479,17.9828,17.013,18.3236,12.485,14.7356,12.2197,10.2292,16.1772,16.3801,10.0313,16.4025,17.5736,13.5461,18.5503,20.6784,19.3664
AT5G65080.2,0.9495,1.4955,1.4495,0.8498,1.3473,0.7463,0.8363,1.2817,1.1285,0.6456,0.6109,0.8173,0.6479,0.8136,1.4353,1.2666,1.0561,1.2695,1.352,1.6049,1.2903
