id,kat_1_1,kat_2_1,kat_3_1,kat_1_2,kat_2_2,kat_3_2,kat_1_3,kat_2_3,kat_3_3,kat_1_4,kat_2_4,kat_3_4,kat_1_5,kat_2_5,kat_3_5,kat_1_6,kat_2_6,kat_3_6,kat_1_7,kat_2_7,kat_3_7
AT1G03130.1,37.7041,36.5184,34.9551,62.7596,38.065,33.7582,53.3975,18.383,20.4427,21.7863,21.0539,24.4315,29.5043,18.3289,44.9178,32.1713,39.2849,33.4516,40.3353,50.1647,37.1743
AT1G04140.1,34.4606,38.3916,39.4415,35.4445,36.7188,40.6256,29.0306,25.9399,35.4881,21.8178,26.5395,25.6312,28.2927,26.4042,27.0999,32.4172,35.7229,36.4554,37.6216,40.0356,33.3388
AT1G04140.2,34.2951,38.2073,39.2521,35.2743,36.5425,40.4305,28.8998,25.8153,35.3177,21.727,26.412,25.5081,28.1569,26.2775,26.9697,32.2615,35.5513,36.2804,37.441,39.8433,33.1787
AT1G04360.1,3.1281,4.1641,4.7515,4.409,5.0104,3.5997,3.4489,2.3336,2.0609,1.9349,2.8437,1.8252,2.975,1.8446,3.4935,2.2738,2.6665,3.0524,2.3401,2.1674,2.6383
AT1G06980.1,24.3001,31.7237,21.9943,21.2087,21.2303,11.9898,17.3867,20.3382,11.8488,17.6145,11.1092,11.2383,16.6839,14.8503,11.1079,18.7698,18.9221,10.316,22.3716,23.1938,18.7502
AT1G07128.1,0.95,1.226,1.0129,0.9942,0.797,0.6472,0.9764,0.8828,0.7728,0.6038,0.7593,0.7148,0.9008,1.2444,0.7492,1.3381,1.1056,0.5958,1.5307,2.0462,0.9874
AT1G07720.1,33.019,43.0993,29.6951,53.83,34.161,30.7819,29.0526,21.8197,20.6427,19.0209,16.3733,20.2049,22.5092,13.8108,21.6413,20.7603,20.5403,20.9156,30.0008,29.0082,24.8141
AT1G08115.1,11.593,12.5183,11.6742,11.7104,11.3438,13.5331,14.4686,5.0874,9.8772,7.0451,6.634,5.9561,12.0131,16.9964,9.6186,12.0828,9.0332,5.2636,10.8348,7.9066,7.9816
AT1G09812.1,2.3094,2.4494,4.2848,2.4493,2.7115,3.6164,1.5309,1.9255,3.5679,0.7941,0.604,1.1078,1.2103,0.6059,0.4135,0.3823,1.2308,1.0366,0.8558,0.8467,0.6499
AT1G09950.1,1.1704,2.3454,2.0571,1.631,1.6356,1.8,0.9143,1.2933,2.3961,0.5112,0.8608,0.624,0.6991,0.7954,1.8198,0.3945,0.9569,1.6769,0.5784,0.8376,1.1142
AT1G11700.1,3.2475,4.3052,3.4599,3.8539,5.0638,3.0753,3.4241,3.2952,2.435,2.4907,1.7501,2.2305,3.3126,2.4932,3.219,3.7717,2.9736,2.163,3.4573,2.8731,2.5678
AT1G12330.1,8.8236,8.2845,9.729,9.9034,7.1525,8.5915,9.6115,8.8766,8.0292,6.7868,4.6666,5.8262,5.5075,4.0185,5.2403,5.7106,5.3644,6.0048,6.1368,7.5085,8.0812
AT1G12500.1,30.0798,28.679,32.4909,28.151,25.491,29.3309,19.5971,20.1353,27.3993,17.5828,17.6169,23.5607,19.6609,15.3284,26.4444,22.8249,21.2051,26.8663,26.7418,29.7524,34.5732
AT1G13710.1,3.5091,4.9194,4.2907,4.9021,4.0467,4.4304,4.6981,2.6093,2.9134,2.3924,2.852,2.5124,1.9841,1.6129,2.896,2.7777,3.1529,2.7471,2.9781,2.5326,1.8795
AT1G20070.1,27.6287,24.9416,29.8785,29.1783,24.3784,26.8074,29.5648,19.8319,21.9825,14.2273,20.6092,18.6014,13.7088,14.7517,16.4459,11.7402,10.1799,9.8526,7.6593,9.5219,7.12
AT1G20823.1,3.8361,4.9384,4.9885,3.8849,5.1046,4.7714,3.883,3.5461,5.1992,2.3602,3.474,3.27,2.9271,3.3172,4.844,2.9151,2.9586,3.7577,2.1218,2.2491,2.3831
