id,kat_1_1,kat_2_1,kat_3_1,kat_1_2,kat_2_2,kat_3_2,kat_1_3,kat_2_3,kat_3_3,kat_1_4,kat_2_4,kat_3_4,kat_1_5,kat_2_5,kat_3_5,kat_1_6,kat_2_6,kat_3_6,kat_1_7,kat_2_7,kat_3_7
AT1G01380.1,7.7085,8.8031,9.437,7.374,8.8401,10.3373,8.8149,9.5257,9.915,8.9565,9.5338,9.6798,11.6643,9.3262,13.2823,12.8627,14.3064,11.8215,9.9614,12.6268,8.15
AT1G29160.1,5.2287,6.2305,3.7128,6.8093,7.073,6.0873,6.8595,6.1427,5.624,5.4638,6.9613,6.4022,5.9134,7.513,6.4801,8.6366,7.124,7.2359,6.8078,8.4822,6.164
AT1G56650.1,0.3912,0.3578,0.2957,0.535,0.2874,0.1339,0.4124,0.0866,0.1597,0.9107,0.2558,0.3518,0.5121,0.4803,0.9598,1.2499,1.3745,1.7791,2.6381,3.3801,1.3331
AT1G66140.1,7.763,8.2574,8.637,8.1143,7.9147,8.075,9.5261,9.3751,12.1339,11.9894,8.1116,10.8133,10.045,10.567,11.8674,10.9702,11.8699,15.4163,11.0238,13.9945,11.7551
AT1G72360.3,2.06,2.0325,1.6542,1.7376,1.8082,2.2183,1.4724,2.4803,2.9606,2.8212,2.1024,2.7178,2.7025,1.9772,3.8943,2.4135,3.0986,3.6262,2.3771,2.2337,2.8855
AT1G72360.1,1.8835,1.8584,1.5125,1.5887,1.6533,2.0282,1.3463,2.2678,2.7069,2.6225,1.9223,2.4849,2.4709,1.8078,3.5606,2.2067,2.8331,3.3155,2.1734,2.0424,2.6383
AT1G72360.2,2.0578,2.0303,1.6524,1.7357,1.8063,2.2159,1.4708,2.4776,2.9574,2.8182,2.1001,2.7149,2.6996,1.975,3.8901,2.4109,3.0952,3.6223,2.3745,2.2313,2.8824
AT2G25820.1,0.0498,0.0724,0.0853,0.0678,0.1239,0.2338,0.1481,0.1724,0.0804,0.1927,0.001,0.5083,0.3552,0.5768,0.4809,0.8076,1.0044,1.7262,0.7966,1.172,1.3345
AT2G40970.1,18.3187,23.7335,16.7833,25.9197,25.8779,23.2834,28.6918,18.4943,23.9247,18.3631,23.1963,17.4303,28.6209,31.3473,27.4639,30.8686,32.0767,31.6028,34.1183,34.9004,25.9355
AT3G17600.1,0.3218,0.5486,0.4626,0.1474,0.6289,0.3651,0.3554,0.4233,0.3924,0.8408,0.448,0.471,1.0353,0.3163,0.861,0.8843,1.344,0.9606,0.595,1.5326,1.8908
AT3G27650.1,0.5756,0.4914,1.1169,0.6236,0.5231,0.8162,0.4915,0.8835,1.0914,0.8471,1.1017,1.5316,2.7797,1.789,4.7928,4.035,5.2487,6.4459,5.7106,4.5303,8.6161
AT3G60630.1,11.0159,10.8407,10.0728,12.6761,12.3632,13.0193,13.2027,12.9533,14.9202,15.5002,14.0773,13.6794,14.499,15.4835,14.9052,14.6455,15.425,19.2216,15.1722,17.79,16.327
AT4G00150.1,22.6128,34.3745,21.7789,37.6779,34.8416,28.3173,38.9616,36.5867,34.5806,34.1944,34.8633,33.333,44.807,45.8196,34.0161,44.6511,49.7967,45.6501,45.826,65.8384,38.9928
