id,kat_1_1,kat_2_1,kat_3_1,kat_1_2,kat_2_2,kat_3_2,kat_1_3,kat_2_3,kat_3_3,kat_1_4,kat_2_4,kat_3_4,kat_1_5,kat_2_5,kat_3_5,kat_1_6,kat_2_6,kat_3_6,kat_1_7,kat_2_7,kat_3_7
AT1G02460.1,2.1005,2.4944,1.7919,2.3673,2.1348,2.1035,2.6649,1.4317,2.5522,2.4499,1.8077,4.1461,3.246,2.331,4.8563,2.7143,3.3283,3.6303,2.9646,2.5513,2.6198
AT1G02570.1,2.947,3.4131,1.1453,1.9833,3.2955,2.2412,2.0127,2.888,3.5549,2.6037,4.5158,3.3362,2.692,5.2117,2.37,6.8141,9.0068,6.6923,4.8739,8.9627,8.3224
AT1G02920.1,10.5075,15.6539,11.2329,11.3788,12.8957,15.2947,11.5583,18.484,14.5032,16.7013,14.1519,21.954,15.9269,21.0909,18.8622,24.4818,30.4815,21.2183,36.9803,30.5961,20.5176
AT1G05240.1,28.1356,24.4368,13.4387,16.7689,24.974,21.7981,13.4823,19.4531,31.8524,25.1174,28.3411,27.1704,34.0707,45.0023,26.0748,64.8122,64.1309,66.9115,64.7096,80.0114,88.9065
AT1G05250.1,25.6772,22.6014,11.8566,13.8648,24.4641,19.4184,11.7561,20.3866,27.9933,23.0278,27.5119,24.5607,31.3185,41.7198,24.9249,64.5113,58.674,64.3872,59.9979,76.8259,84.9313
AT1G05990.1,0.3757,0.1654,0.195,0.3599,0.3152,0.7154,0.2267,0.0668,0.6104,0.5895,0.5491,0.5998,0.3634,0.8846,0.8714,0.9294,1.3127,2.1022,0.9445,1.0991,1.4455
AT1G07300.1,1.6356,2.2152,3.2408,1.8652,1.2196,3.299,2.1166,2.0199,3.2997,2.1998,2.4048,2.0813,2.0015,2.9754,4.2742,3.4511,4.6084,5.0597,3.857,5.2838,4.1342
AT1G07440.2,13.4827,10.5729,17.3165,11.7356,11.3989,16.3302,12.9761,14.6403,17.0759,15.0349,13.1114,12.0962,13.098,14.6733,14.0064,20.549,20.9322,26.3526,26.0948,24.3802,25.8453
AT1G07440.1,16.6644,13.0678,21.2879,14.505,14.0515,20.1234,16.0115,18.0562,20.961,18.5829,16.0662,14.9152,16.1531,18.0777,17.0734,25.3616,25.872,32.3972,32.2529,30.0449,31.7661
AT1G07690.1,1.5791,2.1275,2.6536,1.2514,1.3942,1.9806,0.9518,1.0943,2.4327,2.5285,1.7367,2.4568,2.4779,3.1023,3.6374,6.7925,3.7937,8.8046,2.9537,5.0357,3.1365
AT1G07795.1,0.5883,0.717,0.3952,0.4029,1.1503,1.2451,0.748,0.4591,0.7439,0.8977,0.8873,0.6789,0.6847,1.4971,1.2253,2.2106,1.2425,1.8307,1.0158,0.7399,1.2588
AT1G10070.1,2.9688,2.152,5.2654,2.3486,2.4217,3.2642,2.511,3.6091,5.5147,4.9456,1.5942,5.7888,4.2583,3.6218,6.3749,6.7251,8.2691,12.8581,23.0905,24.3592,27.9285
AT1G10070.2,3.1032,2.2702,5.4803,2.4579,2.5547,3.424,2.6316,3.8073,5.6775,5.2173,1.6518,5.992,4.4691,3.7831,6.4685,7.0708,8.7015,13.4356,24.3166,25.6593,29.3014
AT1G10070.3,2.8955,2.1379,5.1134,2.2934,2.3837,3.1948,2.4555,3.5525,5.3193,4.8681,1.5412,5.5909,4.1699,3.5299,6.0355,6.6196,8.119,12.5813,22.6887,23.9416,27.3613
AT1G10380.1,12.8726,19.4402,11.9225,17.6908,20.9251,17.0633,18.3437,16.0881,16.3204,12.8136,19.4953,14.9677,21.5651,25.202,17.8659,23.1447,22.1246,22.2243,17.0586,20.4969,15.7702
AT1G11540.1,1.2166,1.0878,1.6623,0.6942,1.6152,2.1164,0.8555,1.1863,2.1704,1.2937,2.0474,2.3755,1.8516,2.0581,3.38,2.8177,3.2903,4.2806,2.0516,2.5426,2.9301
AT1G11655.1,1.8599,1.9435,1.4527,1.5758,2.0798,0.9052,1.3343,1.2439,1.6567,2.2602,2.3133,2.9012,1.2852,3.0163,3.5601,4.1683,3.5041,4.1213,3.2789,4.1285,3.5559
AT1G12560.1,8.1548,10.131,4.9536,6.7613,10.6752,9.6076,5.6676,11.5105,11.895,12.5787,11.9469,8.6889,12.901,22.8926,10.2159,29.0414,26.2676,28.0906,26.4889,36.5554,30.737
AT1G13430.1,15.5731,20.4369,16.118,23.3608,17.0964,12.6919,14.5363,14.605,18.1135,28.9641,17.4266,29.9011,35.2118,23.6478,45.3398,30.1979,29.4259,33.894,45.1831,45.9318,41.5596
AT1G14210.1,19.7391,24.3702,26.1618,25.5399,22.3121,26.2688,18.5945,15.0807,22.0831,22.7205,15.6002,26.6634,25.3978,21.0698,45.8813,35.0059,34.7725,38.2662,43.0031,38.7778,41.6474
AT1G15630.1,0.4993,0.7908,0.2519,0.7399,0.628,0.3686,0.3763,0.4383,0.6765,0.3679,1.0858,0.3329,0.6035,0.8988,0.6318,1.3044,1.2336,1.3052,1.1083,1.5225,0.7015
AT1G15825.1,4.3276,3.7647,2.1206,5.3622,4.1202,1.8325,5.0738,5.4399,3.5197,6.0848,3.4222,2.711,7.7293,8.3507,3.6579,6.5686,5.9637,5.0506,4.7643,8.4915,5.6364
AT1G17810.1,25.5611,24.0599,14.4906,21.2337,25.6754,14.4064,25.4471,56.0287,34.8726,51.226,26.7088,24.2206,49.4059,85.8106,21.6172,64.1499,51.5089,45.1128,72.0095,90.2174,94.6588
AT1G18290.1,4.5183,5.025,5.5712,7.4765,6.9986,6.8438,5.2779,5.4216,6.9737,4.6616,4.6248,6.4841,7.4684,6.01,10.9565,8.5291,8.7011,9.9277,9.7307,12.4673,11.7006
AT1G18420.1,0.7931,0.9169,0.5965,0.5605,0.7511,0.5926,0.5245,0.6962,0.666,1.1799,0.535,0.9403,1.0101,0.771,0.6403,1.3728,1.5179,1.3624,2.0259,1.8733,2.0123
