id,kat_1_1,kat_2_1,kat_3_1,kat_1_2,kat_2_2,kat_3_2,kat_1_3,kat_2_3,kat_3_3,kat_1_4,kat_2_4,kat_3_4,kat_1_5,kat_2_5,kat_3_5,kat_1_6,kat_2_6,kat_3_6,kat_1_7,kat_2_7,kat_3_7
AT1G01580.1,1.9998,2.9793,2.5569,1.1914,2.5622,3.492,1.5956,1.3491,2.5296,1.6179,2.0895,1.9384,1.1346,2.547,3.1594,2.0646,1.818,2.9383,0.5356,0.716,0.7294
AT1G03630.1,10.1422,9.5722,14.1666,11.8879,7.2187,12.5491,11.065,6.2336,9.003,8.3543,7.1545,10.3549,7.3752,4.4019,13.607,6.1575,7.2565,9.1868,7.7487,6.3514,6.0395
AT1G03630.2,10.2529,9.6766,14.3213,12.0176,7.2975,12.6861,11.1858,6.3017,9.1012,8.4455,7.2326,10.4679,7.4557,4.45,13.7556,6.2247,7.3357,9.2871,7.8333,6.4208,6.1054
AT1G03850.2,44.0323,54.9479,56.9221,40.2818,49.0335,74.9373,34.7779,49.1751,77.4865,37.531,44.107,57.8191,28.1522,24.1187,63.0804,35.5328,32.5364,42.8077,32.7613,37.7307,32.3884
AT1G05220.1,2.0237,1.6193,1.365,0.52,1.4324,0.9479,1.2959,1.3323,1.1833,1.4901,1.9164,0.8597,0.6633,1.8643,1.0741,1.5672,1.5885,1.2417,0.75,1.1799,1.0672
AT1G05450.1,1.6432,1.2023,2.6692,1.0586,1.2163,1.3166,0.6412,0.9335,1.7293,0.6648,1.0104,1.6993,0.9353,1.0135,1.2094,0.3201,0.3686,0.922,0.1441,0.4514,0.2338
AT1G09380.1,1.8228,1.7709,1.8192,1.4619,1.2425,2.6567,1.8877,1.6997,2.9411,2.2085,1.8749,3.6862,2.7083,3.7119,2.2901,1.976,1.6258,2.5233,0.6967,1.1767,1.1442
AT1G09960.1,8.5359,8.1602,7.4264,5.6559,7.9359,9.2879,7.1977,10.82,11.0738,8.0688,11.3021,6.9839,6.9891,8.7574,5.7911,6.7333,6.5653,6.1297,4.7335,5.3855,5.1153
AT1G10370.1,8.7956,13.2398,8.1514,10.8651,14.2487,6.9984,11.6028,7.2315,6.8898,5.9987,9.384,3.9219,10.2602,7.8847,5.2534,7.1119,8.1738,4.0765,5.5889,4.626,5.1688
AT1G10480.1,1.9984,3.622,3.4242,2.8931,3.8372,2.9579,2.5475,2.4144,2.1905,2.1607,2.4511,1.9442,1.9142,1.1199,2.3806,1.9377,1.8296,1.0075,1.8019,1.4858,0.8381
AT1G10970.1,9.4757,6.9106,6.6628,5.5384,6.5708,8.1394,6.9763,9.5036,9.3458,8.821,13.151,5.9155,5.0377,6.8491,4.4782,6.0901,5.3707,5.4599,4.4587,5.1038,4.951
AT1G12890.1,1.1473,0.8395,1.2814,0.4163,0.7928,1.3785,0.7323,0.8886,2.03,0.5967,1.2692,1.0787,0.5445,0.5752,1.2662,0.3352,0.6681,0.7951,0.7501,0.4052,0.6509
AT1G13080.2,16.9814,20.7297,29.4095,15.1289,15.0752,23.9343,11.8265,17.6121,22.4191,17.806,11.1479,19.1658,9.0878,7.7117,18.7689,8.8121,10.2598,17.2998,8.5756,12.9831,10.7172
AT1G13080.1,16.4943,20.2065,28.5886,14.7569,14.6849,23.3542,11.643,17.0984,21.8357,17.3964,10.7931,18.641,8.8846,7.4837,18.2192,8.5757,9.9535,16.794,8.362,12.6409,10.419
AT1G13635.1,1.0685,1.2374,2.2278,1.1272,1.6052,1.7578,0.805,0.8988,1.0862,1.9222,1.3024,1.8494,0.6463,0.642,2.3458,0.8827,0.7796,0.8741,0.4951,0.4751,0.5369
AT1G14960.1,39.5787,53.496,30.2488,28.0585,65.4123,42.4785,34.0727,73.9572,31.7139,60.5342,49.6809,24.8476,27.3574,38.1483,17.5376,28.8378,26.9176,17.9101,12.6661,22.3088,13.1641
AT1G15080.1,1.2636,1.0528,1.4541,1.033,0.9717,1.5772,1.4802,1.0475,1.2275,0.6207,1.6501,1.066,0.8773,0.943,1.0351,1.3045,0.5882,0.8664,0.9361,0.4682,0.5926
AT1G17020.1,27.4832,24.9203,46.5649,15.4547,17.7419,39.704,18.8018,30.0087,37.9756,29.1327,18.9789,31.9777,16.7672,16.9414,25.2383,13.7673,11.2818,24.1363,7.2097,10.4044,11.2679
AT1G18060.1,9.7422,6.4108,8.985,8.2495,7.9473,10.5114,9.1667,5.8953,6.8379,4.9786,9.4824,4.8707,6.0955,6.4405,6.9958,5.6219,7.3131,5.464,4.9425,4.3862,5.1099
AT1G19550.1,45.596,49.4644,54.8651,38.0755,45.4533,66.7028,39.3462,31.6217,54.5222,33.5691,67.6289,47.2446,47.4934,39.4881,63.7852,35.9843,39.1861,44.5322,27.2592,24.8392,32.4334
AT1G21140.1,1.535,1.7384,1.1969,1.22,2.6157,2.0228,0.806,1.3472,0.7254,0.9239,1.759,1.2664,2.1546,2.1728,3.4054,1.881,1.4697,1.8325,0.8439,0.891,0.9151
AT1G22710.1,52.4954,63.3282,59.9697,63.7429,64.9739,66.038,64.9731,67.2453,83.0887,48.9389,70.7656,54.1572,49.6855,53.5068,43.1214,40.914,42.8283,39.8068,37.2103,38.6992,30.3165
AT1G23100.1,5.4595,4.9297,5.3015,3.2693,6.1529,6.5639,6.1162,4.0428,6.4517,5.1081,5.5264,2.3865,6.2564,7.5437,6.0975,7.609,6.1026,4.0667,3.9805,2.5008,3.3577
