T0.25	T0.5	T1	T4	T12	T24
AT1G10060	AT1G01480	AT1G01270	AT1G01620	AT1G01380	AT1G01580
AT1G24580	AT1G03820	AT1G01453	AT1G01650	AT1G02460	AT1G01600
AT1G31772	AT1G08005	AT1G03130	AT1G01750	AT1G02570	AT1G01640
AT1G31820	AT1G08390	AT1G04140	AT1G02770	AT1G02920	AT1G01725
AT1G62422	AT1G08430	AT1G04180	AT1G02800	AT1G04800	AT1G01770
AT1G72510	AT1G11120	AT1G04310	AT1G02900	AT1G05240	AT1G02050
AT1G75720	AT1G11175	AT1G04360	AT1G02930	AT1G05250	AT1G02205
AT2G01300	AT1G11800	AT1G05010	AT1G03120	AT1G05990	AT1G03090
AT2G15292	AT1G11840	AT1G06930	AT1G03700	AT1G06360	AT1G03630
AT2G18735	AT1G11960	AT1G06980	AT1G04660	AT1G06830	AT1G03970
AT2G20750	AT1G13900	AT1G07128	AT1G04980	AT1G07300	AT1G04220
AT2G25490	AT1G15100	AT1G07720	AT1G05000	AT1G07440	AT1G05220
AT2G33660	AT1G17090	AT1G08115	AT1G05020	AT1G07690	AT1G05450
AT2G35658	AT1G17345	AT1G09240	AT1G05300	AT1G07795	AT1G06030
AT3G01705	AT1G18470	AT1G09812	AT1G05660	AT1G08990	AT1G06570
AT3G03852	AT1G18740	AT1G09950	AT1G06080	AT1G09500	AT1G06923
AT3G09922	AT1G18870	AT1G11185	AT1G06180	AT1G10070	AT1G07000
AT3G10040	AT1G22520	AT1G11700	AT1G06330	AT1G10380	AT1G07040
AT3G14395	AT1G24170	AT1G12330	AT1G06520	AT1G11540	AT1G07150
AT3G15210	AT1G25560	AT1G12500	AT1G08630	AT1G11655	AT1G07230
AT3G15800	AT1G29420	AT1G13710	AT1G09350	AT1G12560	AT1G07260
AT3G17130	AT1G29490	AT1G20070	AT1G10140	AT1G13430	AT1G07310
AT3G21370	AT1G31050	AT1G20823	AT1G10160	AT1G14210	AT1G07640
AT3G21680	AT1G34040	AT1G21130	AT1G10360	AT1G14240	AT1G08930
AT3G53250	AT1G35250	AT1G21326	AT1G11125	AT1G15010	AT1G08940
AT3G63052	AT1G38065	AT1G26800	AT1G11260	AT1G15260	AT1G09380
AT4G35430	AT1G38131	AT1G28370	AT1G12040	AT1G15630	AT1G09530
AT4G37095	AT1G42990	AT1G29440	AT1G12064	AT1G15825	AT1G09932
AT5G01370	AT1G45201	AT1G29510	AT1G12950	AT1G16515	AT1G09960
AT5G10336	AT1G49960	AT1G30380	AT1G13250	AT1G17170	AT1G10020
AT5G23280	AT1G53540	AT1G32170	AT1G13930	AT1G17180	AT1G10210
AT5G41265	AT1G55152	AT1G32690	AT1G14700	AT1G17810	AT1G10370
AT5G59220	AT1G61580	AT1G33260	AT1G15040	AT1G17970	AT1G10400
AT5G63145	AT1G61667	AT1G36060	AT1G15170	AT1G18140	AT1G10480
AT5G65480	AT1G67570	AT1G36940	AT1G15380	AT1G18290	AT1G10970
	AT1G68440	AT1G43160	AT1G15640	AT1G18420	AT1G10990
	AT1G68680	AT1G43580	AT1G16370	AT1G18970	AT1G11210
	AT1G68840	AT1G46554	AT1G16500	AT1G19200	AT1G11530
	AT1G70260	AT1G48100	AT1G17190	AT1G19530	AT1G11920
	AT1G75140	AT1G49210	AT1G17310	AT1G19670	AT1G12672
	AT1G76878	AT1G50110	AT1G17710	AT1G19770	AT1G12890
	AT1G77130	AT1G52890	AT1G18100	AT1G19960	AT1G13080
	AT1G78230	AT1G53340	AT1G18980	AT1G21050	AT1G13100
	AT1G79260	AT1G53708	AT1G19380	AT1G21360	AT1G13448
