ID,Tendency,ATP
AT1G10060,1,1
AT1G31772,1,1
AT1G75720,1,1
AT2G01300,1,1
AT3G15800,1,1
AT3G17130,1,1
AT3G53250,1,1
AT1G24580,0,1
AT1G31820,0,1
AT1G62422,0,1
AT1G72510,0,1
AT2G15292,0,1
AT2G18735,0,1
AT2G20750,0,1
AT2G25490,0,1
AT2G33660,0,1
AT2G35658,0,1
AT3G01705,0,1
AT3G03852,0,1
AT3G09922,0,1
AT3G10040,0,1
AT3G14395,0,1
AT3G15210,0,1
AT3G21370,0,1
AT3G21680,0,1
AT3G63052,0,1
AT4G35430,0,1
AT4G37095,0,1
AT5G01370,0,1
AT5G10336,0,1
AT5G23280,0,1
AT5G41265,0,1
AT5G59220,0,1
AT5G63145,0,1
AT5G65480,0,1
AT1G17345,1,2
AT1G25560,1,2
AT1G68840,1,2
AT2G27690,1,2
AT2G39980,1,2
AT2G41230,1,2
AT2G43870,1,2
AT3G21720,1,2
AT3G48700,1,2
AT3G50310,1,2
AT3G50330,1,2
AT4G11040,1,2
AT4G37580,1,2
AT5G05440,1,2
AT5G13910,1,2
AT5G23370,1,2
AT5G35732,1,2
AT5G54490,1,2
AT5G64572,1,2
AT5G67080,1,2
AT1G01480,0,2
AT1G03820,0,2
AT1G08005,0,2
AT1G08390,0,2
AT1G08430,0,2
AT1G11120,0,2
AT1G11175,0,2
AT1G11800,0,2
AT1G11840,0,2
AT1G11960,0,2
AT1G13900,0,2
AT1G15100,0,2
AT1G17090,0,2
AT1G18470,0,2
AT1G18740,0,2
AT1G18870,0,2
AT1G22520,0,2
AT1G24170,0,2
AT1G29420,0,2
AT1G29490,0,2
AT1G31050,0,2
AT1G34040,0,2
AT1G35250,0,2
AT1G38065,0,2
AT1G38131,0,2
AT1G42990,0,2
AT1G45201,0,2
AT1G49960,0,2
AT1G53540,0,2
AT1G55152,0,2
AT1G61580,0,2
AT1G61667,0,2
AT1G67570,0,2
AT1G68440,0,2
AT1G68680,0,2
AT1G70260,0,2
AT1G75140,0,2
AT1G76878,0,2
AT1G77130,0,2
AT1G78230,0,2
AT1G79260,0,2
AT2G01890,0,2
AT2G03090,0,2
AT2G05320,0,2
AT2G05440,0,2
AT2G05518,0,2
AT2G05520,0,2
AT2G09970,0,2
AT2G13547,0,2
AT2G15790,0,2
AT2G16580,0,2
AT2G18010,0,2
AT2G18950,0,2
AT2G20480,0,2
AT2G21210,0,2
AT2G24230,0,2
AT2G24330,0,2
AT2G24762,0,2
AT2G24970,0,2
AT2G25052,0,2
AT2G25150,0,2
AT2G26730,0,2
AT2G28410,0,2
AT2G28550,0,2
AT2G28630,0,2
AT2G32510,0,2
AT2G36500,0,2
AT2G37360,0,2
AT2G39000,0,2
AT2G39435,0,2
AT2G39805,0,2
AT2G41180,0,2
AT2G41905,0,2
AT2G46970,0,2
AT2G47200,0,2
AT2G47760,0,2
AT3G02210,0,2
AT3G03850,0,2
AT3G05770,0,2
AT3G09260,0,2
AT3G09410,0,2
AT3G09710,0,2
AT3G13980,0,2
AT3G15534,0,2
AT3G16470,0,2
AT3G20600,0,2
AT3G22968,0,2
AT3G22970,0,2
AT3G26450,0,2
AT3G27220,0,2
AT3G28455,0,2
AT3G28899,0,2
AT3G29030,0,2
AT3G29095,0,2
AT3G44430,0,2
AT3G44940,0,2
AT3G47590,0,2
AT3G48180,0,2
AT3G48450,0,2
AT3G48940,0,2
AT3G50560,0,2
AT3G54020,0,2
AT3G55530,0,2
AT3G55840,0,2
AT3G56370,0,2
AT3G57785,0,2
AT3G58540,0,2
AT3G58810,0,2
AT3G59660,0,2
AT3G59680,0,2
AT3G60647,0,2
AT4G00110,0,2
AT4G02010,0,2
AT4G02630,0,2
AT4G12510,0,2
AT4G14380,0,2
AT4G15240,0,2
AT4G16240,0,2
AT4G16750,0,2
AT4G18230,0,2
AT4G19970,0,2
AT4G26200,0,2
AT4G27840,0,2
AT4G28440,0,2
AT4G31350,0,2
AT4G31600,0,2
AT4G34760,0,2
AT4G35690,0,2
AT4G38840,0,2
AT4G39320,0,2
AT4G39350,0,2
AT4G40065,0,2
AT5G02410,0,2
AT5G03230,0,2
AT5G03280,0,2
AT5G03740,0,2
AT5G06590,0,2
AT5G07220,0,2
AT5G10970,0,2
AT5G15360,0,2
AT5G16870,0,2
AT5G18020,0,2
AT5G18030,0,2
AT5G18060,0,2
AT5G20700,0,2
AT5G22070,0,2
AT5G22850,0,2
AT5G25040,0,2
AT5G25240,0,2
AT5G26270,0,2
AT5G27660,0,2
AT5G28830,0,2
AT5G37980,0,2
AT5G38550,0,2
AT5G40830,0,2
AT5G40945,0,2
AT5G40980,0,2
