id,kat_1_1,kat_2_1,kat_3_1,kat_1_2,kat_2_2,kat_3_2,kat_1_3,kat_2_3,kat_3_3,kat_1_4,kat_2_4,kat_3_4,kat_1_5,kat_2_5,kat_3_5,kat_1_6,kat_2_6,kat_3_6,kat_1_7,kat_2_7,kat_3_7
AT1G10060,0.9853,1.0091,0.6079,1.6753,1.6993,1.1309,1.1533,0.8648,0.71,1.7127,1.4997,0.9674,2.9931,1.7512,3.5693,2.3006,3.9821,2.4615,4.8125,4.1974,4.8803
AT1G24580,14.9739,6.2596,14.8903,0.5204,1.2163,2.9611,0.6662,1.3937,1.7406,0.8138,1.0825,1.3243,0.2791,1.1762,0.4942,0.6279,1.1563,1.2393,0.6142,0.6445,1.3865
AT1G31772,0.5915,0.8649,0.5107,1.3142,1.4868,1.0063,0.6236,1.5557,0.7214,0.2908,0.9265,0.119,0.001,0.3878,0.2648,0.7326,0.4504,0.4977,0.7664,0.7877,0.1196
AT1G31820,1.5457,1.9031,2.0232,0.9875,1.0375,1.5262,1.0868,0.9499,1.5294,0.9866,0.9694,0.8034,0.9347,1.1984,1.2432,1.2556,1.4901,1.4881,2.0412,1.6645,2.1102
AT1G62422,4.1762,3.8186,5.0635,2.0757,2.4606,2.2349,1.7979,1.9203,3.0327,2.2454,2.0265,3.3375,3.0856,2.6384,5.2859,4.4758,4.0864,5.1021,4.0503,5.5634,5.5902
AT1G72510,17.8205,21.71,28.0648,14.4877,12.4061,14.5272,10.5045,9.644,13.2874,9.6802,7.9808,14.6015,9.6102,6.988,16.3833,11.6581,9.4917,14.223,13.6042,16.5503,15.0643
AT1G75720,0.6015,0.4402,0.7137,1.1823,0.9453,1.2277,0.2271,0.4621,0.6114,1.1062,0.4716,1.1407,0.243,0.296,1.2753,0.7449,0.5151,0.5903,0.8349,0.451,0.3024
AT2G01300,1.2574,1.4521,0.4005,2.2182,1.7203,2.2524,1.8337,1.916,2.0983,1.6887,1.452,1.5334,1.1202,1.0839,1.6553,1.2025,2.0643,1.2618,1.5192,1.8069,1.6475
AT2G15292,14.9076,8.9319,13.0208,6.2912,6.3415,8.4117,5.1119,4.019,4.6193,3.9379,6.0089,3.206,3.6911,4.3023,4.3772,4.662,4.4579,4.0217,4.6011,3.9256,6.7002
AT2G18735,6.0836,4.858,5.5719,1.8438,2.6102,3.0048,1.9593,1.9977,2.0779,1.733,1.5536,1.7821,1.4979,1.7956,1.4945,2.8006,2.1213,1.6155,1.858,1.7949,2.0149
AT2G20750,18.8774,24.3008,20.241,13.7201,13.6697,12.9616,10.7386,10.153,11.1253,8.5945,8.495,8.1836,9.0726,8.8336,6.2166,9.0069,9.1917,8.7241,9.3501,13.1739,7.8173
AT2G25490,62.8973,50.2108,58.8898,34.4146,37.1096,34.1173,42.2712,42.2596,59.5995,50.4023,79.409,78.365,58.8464,60.2051,72.2082,54.717,68.4633,74.9493,62.4534,85.3996,80.2516
AT2G33660,46.9403,43.4929,64.8261,9.4228,28.3466,26.8507,16.97,42.2925,60.0613,58.3652,67.3588,73.0213,22.1955,32.39,43.6187,35.6685,12.3852,40.0136,35.2287,93.3865,16.5898
AT2G35658,1.6071,1.8938,2.3885,1.2222,1.1984,1.0947,1.8289,0.9407,1.0895,0.7017,1.2131,0.8567,1.1516,1.17,1.2766,1.0328,1.2233,1.0518,0.9923,1.4275,1.2194
AT3G01705,1.8786,1.3744,2.1618,0.4293,0.5259,0.001,0.7552,0.001,3.0549,0.6154,0.655,1.5014,0.001,1.231,1.6786,1.0348,0.4773,0.352,0.928,0.8348,1.0064
AT3G03852,1.2527,1.8322,2.1618,0.001,0.001,0.4272,0.7552,1.0995,1.019,0.6154,1.3089,1.5014,0.001,2.0509,0.5602,1.0348,0.4773,2.1069,0.4645,34.6037,0.5037
AT3G09922,3.9436,3.4257,5.3182,1.912,2.481,1.623,2.4754,5.263,6.8812,6.0481,4.2064,6.6304,3.1124,6.7268,4.8447,2.8503,1.8138,5.805,1.461,3.0649,5.1469
AT3G10040,1.9062,1.2768,1.6686,0.9007,1.1713,0.8233,0.8579,0.4955,0.9175,1.7658,1.9637,2.2525,2.3151,1.5654,5.4914,1.5967,2.1861,3.2364,1.9883,1.9314,2.4364
AT3G14395,1.514,1.1078,1.032,0.6004,0.4017,0.8144,0.9606,0.5601,0.6486,0.6264,1.998,1.5283,0.7712,1.3052,1.6375,1.448,1.0313,1.5641,0.4728,0.5845,1.0884
AT3G15210,40.0322,41.5155,40.1726,25.74,26.1875,27.6324,21.5371,22.7145,35.5367,19.0176,33.6839,31.1812,24.3796,28.1909,32.4602,29.6518,21.8642,27.0634,23.7309,22.0711,30.0254
AT3G15800,1.3003,1.3859,1.2507,2.4142,1.9003,1.72,1.343,1.2715,1.9634,1.24,1.5138,1.425,2.2151,1.8249,2.0575,1.81,1.5549,1.8747,1.5132,1.5094,1.2235
AT3G17130,0.1623,0.8269,0.2794,0.9943,0.9479,1.0993,0.8756,0.5672,0.7224,0.6343,0.4223,0.6455,0.716,0.7406,0.5775,0.4007,0.6761,0.3628,0.658,0.3233,0.7783
AT3G21370,8.2202,6.2559,10.3666,3.4209,3.9544,3.8882,6.937,13.0759,12.1562,20.8575,4.8768,13.9324,3.9909,10.8626,4.6147,3.3073,2.1101,11.5445,1.0536,6.3912,16.1914
AT3G21680,1.6101,1.8118,2.5651,0.0857,0.8315,1.0967,0.2993,0.3269,1.209,0.6085,0.5183,0.7923,0.2005,0.1632,0.2222,0.1032,0.1894,0.6952,0.3677,0.1659,0.1998
AT3G53250,4.7282,5.6325,5.3637,8.5038,7.2509,8.6465,8.7084,9.1277,9.4474,11.6682,10.0211,7.8801,7.5121,4.9557,7.9658,6.6943,9.0466,6.2878,11.1044,8.0083,7.0524
AT3G63052,2.445,4.0641,3.2612,1.9774,0.7464,1.2114,4.4186,2.9257,2.5307,3.4906,3.4833,2.1316,1.4336,2.1842,1.9862,3.3041,1.6919,0.9978,1.8111,1.629,2.1425
AT4G35430,6.1726,4.1393,6.2159,3.0276,2.5029,3.9935,2.542,2.4383,3.9327,3.333,3.2254,3.6999,3.8145,1.8203,5.7911,2.5497,4.2283,4.5005,2.9721,3.838,6.3626
AT4G37095,9.9164,6.4482,8.2425,5.5295,4.0051,4.2523,3.32,3.8684,5.0782,6.1294,6.1406,5.5769,8.2885,2.8879,4.2666,6.674,5.8703,3.9141,5.4407,6.1167,8.85
AT5G01370,1.1867,0.9117,1.3827,0.5893,0.722,0.8488,0.7154,0.4953,1.0618,0.4375,0.6205,0.6169,0.3833,0.2923,1.3253,0.3193,0.4297,0.7657,0.6596,0.7119,0.5724
AT5G10336,1.0937,1.0667,1.2585,0.7487,0.612,0.4971,0.8788,1.5992,0.8896,1.4311,0.001,3.2027,0.8817,0.7168,0.6519,1.5052,0.2782,1.8394,1.6195,1.2141,0.5861
AT5G23280,20.1062,23.0832,30.3554,15.1344,12.6908,17.3351,8.3985,7.8062,12.8876,10.1365,9.1519,12.3369,10.7672,8.6846,14.3417,13.8484,10.8156,15.8627,15.2194,14.9825,13.3852
AT5G41265,7.5113,4.1213,4.8629,0.8575,0.5259,1.7057,3.0177,6.0426,2.0369,3.6872,4.5787,3.502,1.0098,5.3308,1.6786,5.6871,1.9063,2.1069,1.8551,6.2545,0.5037
AT5G59220,3.7404,4.5333,2.8046,2.373,2.13,1.618,1.3331,2.037,0.9777,0.9656,1.5126,1.0698,0.793,0.8056,0.4888,1.1282,0.8527,0.797,1.2745,1.8919,1.2506
AT5G63145,3.7561,4.1213,4.3227,0.001,1.0508,1.2796,2.6406,2.198,3.0549,1.8441,1.9629,3.502,2.0187,3.2809,1.6786,1.0348,0.9536,2.1069,2.3186,0.8348,1.5091
AT5G65480,62.2706,56.9654,84.9845,33.6874,36.5847,47.7933,22.8345,20.9663,41.9404,24.5096,26.7105,54.9879,53.4524,28.7693,124.6547,62.5406,49.456,93.3682,68.2152,73.2087,88.6917
