id,kat_1_1,kat_2_1,kat_3_1,kat_1_2,kat_2_2,kat_3_2,kat_1_3,kat_2_3,kat_3_3,kat_1_4,kat_2_4,kat_3_4,kat_1_5,kat_2_5,kat_3_5,kat_1_6,kat_2_6,kat_3_6,kat_1_7,kat_2_7,kat_3_7
AT1G06180,1.1742,1.5744,1.731,1.2721,1.354,1.499,1.1791,0.8161,1.5515,1.0087,1.2269,1.2901,0.7102,0.7375,1.0056,0.5259,0.9311,0.8234,0.6165,0.9128,1.0219
AT1G47760,1.4474,1.588,2.2204,1.2107,1.6185,1.5878,1.2598,0.9177,1.1119,1.263,0.5887,1.6063,0.7782,0.9485,1.1497,0.9965,0.8572,1.2177,1.4293,1.4462,1.1627
AT1G49475,4.1931,2.8871,4.5133,1.2834,2.1106,4.4677,2.4376,2.6411,6.7794,3.6319,3.5052,3.548,1.9885,2.101,2.689,1.3045,1.2021,1.9924,0.9872,1.0523,1.6251
AT1G77450,15.8766,20.0172,27.1317,14.0307,18.3345,23.4967,14.4692,22.7896,24.6228,14.0579,11.2128,12.6558,10.6423,12.7526,9.4457,10.5765,8.0761,7.5844,8.0956,8.7694,7.1456
AT1G79840,2.8241,4.0641,3.0865,4.2911,4.3368,2.5476,3.2704,3.7816,2.8783,3.1321,1.4759,1.9494,2.3206,1.9824,2.0648,2.6961,3.1122,2.9001,3.8568,4.1528,3.6378
AT2G47890,4.5609,4.2337,5.1584,3.5732,4.1948,4.6694,4.4538,5.5758,4.5023,4.2611,2.9913,3.0921,2.8144,3.6474,2.7828,2.9101,3.8304,3.3519,3.6577,4.0231,4.5476
AT3G58710,7.3362,8.0212,6.1991,8.0055,8.8407,5.6007,6.9793,6.235,4.0512,6.5951,4.3174,4.567,5.8196,4.4774,4.0369,6.9523,6.3474,5.2405,6.8632,7.536,5.9237
AT4G05100,5.0057,7.8775,8.1825,6.046,6.3927,6.972,3.7703,4.0936,5.4279,5.3232,3.1307,4.97,2.2012,1.5409,4.7098,2.5688,3.0308,3.3393,4.0165,4.446,4.0513
AT4G09460,12.5806,17.5111,18.202,15.2663,13.7018,17.7806,11.2066,15.6868,14.0219,12.4828,10.5449,9.1135,9.7021,7.797,10.3513,12.7456,10.1258,9.289,17.4279,16.7903,13.4851
AT4G14550,3.1599,3.3461,4.104,3.5831,2.5243,2.8897,2.2487,3.1693,2.5211,3.161,1.7929,2.0205,1.8681,1.4594,2.4741,1.6659,2.0388,1.6882,2.7194,2.5261,3.1424
AT4G29930,2.5313,3.5729,6.0167,3.1905,3.0913,5.1399,1.4988,2.5722,2.3837,1.7876,1.8564,1.2426,0.3588,0.1755,0.9529,0.5876,0.4064,0.2997,0.4942,0.3263,0.1436
AT5G10120,12.5624,15.1162,20.3304,8.661,10.7208,13.9865,9.4237,20.0916,15.8098,19.2368,8.1716,12.4985,6.1008,6.1108,5.2199,5.6813,5.8087,8.9476,2.9548,5.2307,7.2653
AT5G17490,5.914,6.9732,6.7045,5.1342,5.9781,8.2344,5.5843,8.2688,9.8519,5.6105,5.7415,5.3081,3.7353,5.262,3.1355,3.5181,3.3089,4.1461,2.877,2.8816,2.9782
AT5G17810,2.2832,1.9978,2.4344,1.2258,1.5023,2.4083,1.2413,2.0038,2.0754,2.8123,1.5908,2.683,0.6863,1.3201,1.2405,0.9989,0.9546,1.1805,0.5313,1.1933,1.5106
AT5G51780,22.98,23.2749,29.9644,21.9409,28.0044,32.9685,17.8992,22.106,29.151,22.5096,26.2179,19.3843,14.9993,10.744,19.2165,15.8576,14.9109,16.6328,15.0197,18.1861,15.224
AT5G51790,2.9779,3.2408,3.1972,3.6776,3.1677,2.2259,2.0134,2.2949,3.1896,2.9232,2.0494,2.2059,2.5173,1.2852,1.7526,1.2604,1.1614,1.6298,1.3454,1.065,0.9924
