id,kat_1_1,kat_2_1,kat_3_1,kat_1_2,kat_2_2,kat_3_2,kat_1_3,kat_2_3,kat_3_3,kat_1_4,kat_2_4,kat_3_4,kat_1_5,kat_2_5,kat_3_5,kat_1_6,kat_2_6,kat_3_6,kat_1_7,kat_2_7,kat_3_7
AT1G04800,15.3458,10.0563,13.4298,15.9335,13.0497,15.566,12.553,6.3133,9.1005,5.6496,10.9129,11.4119,10.1354,6.842,19.1385,4.7537,7.2594,7.8894,11.997,7.2413,7.7041
AT1G06360,31.1874,28.5381,40.5963,29.1352,29.342,38.0954,32.7033,35.0533,47.1033,39.0951,28.6612,40.9906,19.0164,23.8567,25.8929,16.0638,14.92,17.3169,15.2366,15.2526,16.493
AT1G06830,2.2052,3.0967,1.9035,3.2589,4.4378,2.7027,2.7633,0.9295,1.0765,1.905,2.3041,1.1283,1.8485,1.3294,2.4431,1.4574,0.7391,0.7921,0.9805,0.5296,0.5675
AT1G08990,1.1679,0.9399,1.6327,0.7835,1.058,1.8286,0.5775,1.0455,0.95,1.3756,0.757,1.3065,0.4712,0.3832,1.2104,0.1938,0.3562,0.8256,0.5541,0.6384,0.5821
AT1G09500,0.9324,1.0514,1.1399,0.7446,0.7171,0.926,1.1701,0.8524,0.5375,0.7629,1.2986,1.1485,0.8142,0.8908,0.6598,0.3215,0.4145,0.3928,0.0585,0.3629,0.3127
AT1G14240,6.2669,4.4126,8.5644,3.8778,3.9644,7.3258,2.8797,5.3853,6.2859,6.4594,4.3931,5.9263,2.9048,3.2676,6.416,1.6183,2.5046,3.7493,0.8711,1.8097,2.6432
AT1G15010,10.134,11.3016,5.3778,12.2774,13.0278,7.184,12.9123,6.7069,5.2022,3.9961,7.1175,5.4436,5.3564,4.8434,3.5632,3.3624,2.6559,1.6779,2.5846,3.1546,1.1351
AT1G15260,15.5235,13.0748,12.5501,17.6915,13.3868,15.4097,20.1881,12.616,11.6469,14.1116,13.2507,9.7411,11.3223,10.5275,9.5239,9.1651,9.9011,8.1851,9.7566,8.9574,8.2543
AT1G16515,6.902,3.4484,6.3935,4.0322,4.095,5.1588,2.2321,1.9213,5.6133,2.9751,4.5738,6.5919,2.1715,1.9857,7.8213,2.0863,1.9225,2.3609,1.8709,1.9071,1.6233
AT1G17170,11.6179,15.5102,22.0786,6.4887,18.7012,27.777,8.0362,19.9791,25.1239,20.0466,14.9156,19.1922,8.1463,16.2106,18.9915,6.1968,5.274,9.2913,3.5891,5.9349,9.1644
AT1G17180,17.0997,22.431,23.2831,7.4693,26.1548,41.1606,9.8649,25.0406,28.531,25.3565,26.8279,24.2557,9.1744,13.7214,16.7182,5.9247,6.4087,8.8615,3.4267,5.7133,8.0159
AT1G17970,5.2741,4.7683,5.473,4.3998,4.0012,4.4995,3.1603,3.4067,4.6508,3.8104,3.9631,5.5169,3.8928,2.3103,5.8506,2.0318,2.5712,4.4036,3.2262,3.9477,4.0222
AT1G18140,4.9383,7.0723,4.2029,9.9313,6.8124,4.7457,5.7421,4.7186,3.3784,3.7152,3.7377,2.066,4.6869,2.1623,2.5366,2.2305,2.4417,1.5537,1.5901,1.1229,1.0017
AT1G19670,2.7804,2.5678,1.7103,2.0218,1.8951,1.6808,1.7175,1.0681,1.442,1.2629,1.7435,1.3614,1.4011,1.2528,1.8015,1.2062,1.3231,1.209,1.7507,1.7599,1.173
AT1G21790,4.9544,4.8145,5.4,2.9699,3.458,4.8513,3.7044,4.3163,5.382,3.4792,4.4212,3.6416,3.2065,4.1222,4.3299,2.838,2.7527,3.813,2.5181,3.1802,2.7889
AT1G26770,12.888,11.8143,12.8423,10.0696,12.2052,12.4868,9.81,8.8481,11.5163,8.1677,12.1713,12.4373,8.731,10.4948,8.6588,5.4712,6.1588,6.1487,5.1719,5.5211,5.4516
AT1G29080,2.9092,2.973,5.7228,2.313,2.8706,5.3597,1.8821,2.9661,5.0095,3.2756,1.9226,8.7503,1.2764,1.5139,2.0263,0.2129,0.3265,0.5526,0.2227,0.2004,0.1041
AT1G29395,4.0406,5.6226,2.935,5.2598,5.9509,1.7454,6.5608,2.5085,2.3648,4.2082,4.4279,3.3473,3.0583,2.0341,1.9818,1.9134,1.3132,1.41,1.2415,1.3464,0.9902
AT1G29450,19.7863,14.9483,24.0078,16.0367,16.3913,24.4624,9.4303,12.9523,17.5424,13.2938,13.727,11.3408,10.4576,6.4815,14.129,10.5158,10.4921,13.2341,13.3332,13.3966,19.084
AT1G30750,59.3411,71.0083,49.7379,63.0513,80.9988,69.8386,48.7072,51.931,61.6428,49.712,66.174,42.8165,55.4188,62.4295,63.1698,44.665,38.4999,36.853,55.1111,57.4292,63.3728
