id,kat_1_1,kat_2_1,kat_3_1,kat_1_2,kat_2_2,kat_3_2,kat_1_3,kat_2_3,kat_3_3,kat_1_4,kat_2_4,kat_3_4,kat_1_5,kat_2_5,kat_3_5,kat_1_6,kat_2_6,kat_3_6,kat_1_7,kat_2_7,kat_3_7
AT1G01600,9.6037,13.0419,6.994,16.8154,13.1772,6.1761,10.1231,8.8613,8.0279,10.4568,9.0036,9.2194,12.0329,12.5148,11.3002,11.6347,13.8194,12.9512,16.951,16.835,13.3955
AT1G01640,7.7712,13.6778,9.3906,10.8344,12.9536,10.2527,11.5882,9.8885,9.2033,9.6307,11.9767,7.5299,15.0703,14.1897,11.5432,20.7784,18.4809,12.7743,23.3438,22.3222,14.3945
AT1G01725,7.9817,8.4334,8.9306,7.687,8.3473,10.3334,9.1431,13.7491,9.4562,11.2202,7.1046,7.6384,8.8949,11.4897,10.2129,13.1842,12.7485,11.9361,14.8872,15.1619,13.6918
AT1G01770,2.6149,2.0793,3.4506,2.334,2.1933,2.3098,1.9297,2.644,2.897,3.1804,1.4458,2.8618,2.3825,1.7505,2.5903,2.6449,2.985,3.2302,3.8868,4.4927,5.3258
AT1G02050,1.2221,1.0928,1.8748,1.649,1.1674,1.2252,1.9426,1.8764,1.1872,2.1653,0.958,1.1124,1.45,1.4231,1.4558,1.4859,1.9113,1.9794,2.4127,2.4865,2.2079
AT1G02205,126.4955,188.2308,133.8345,258.6522,176.5854,151.1423,170.6756,148.4785,148.7547,158.6699,109.6717,149.073,135.3557,102.6515,116.4729,145.9936,168.3291,187.6874,251.9429,290.5286,212.3238
AT1G03090,3.5123,3.0447,7.9114,4.6023,3.3583,4.4126,3.111,4.5308,4.1417,5.74,1.9089,5.8234,4.3309,3.6468,7.1071,5.7868,6.7887,10.9989,18.8811,21.2624,18.4882
AT1G04220,65.5576,77.9242,71.6957,94.1048,72.7827,62.557,62.5173,54.7531,59.3995,61.4159,46.5103,74.8866,83.4463,66.5011,97.4545,63.7444,68.9091,88.3262,101.1507,127.3203,114.7455
AT1G06030,0.0447,0.1288,0.1896,0.1804,0.1109,0.3283,0.08,0.1544,0.2853,0.3012,0.0467,0.2454,0.1066,0.1441,0.3914,0.5784,0.5663,0.8096,0.7776,1.2234,1.4048
AT1G06570,5.8704,5.2578,9.911,5.7414,5.7403,6.6104,5.8318,8.3429,7.5686,8.6293,3.6808,6.3845,5.9777,5.0651,5.7825,7.2609,8.9567,11.3531,27.101,32.6524,25.6195
AT1G06923,0.3997,0.3722,0.4077,0.4474,0.9434,0.4946,0.2849,0.7644,0.5905,0.4635,0.3797,0.5224,0.6145,0.6421,0.5839,0.7793,0.9389,1.058,0.6989,1.4496,1.4566
AT1G07000,4.0446,4.3735,3.036,4.7981,4.2403,3.9069,3.1524,3.9932,3.5755,5.1137,3.7669,3.4958,4.6062,4.1903,4.0852,4.3209,5.0855,4.7706,6.6416,5.9883,6.3732
AT1G07040,10.5176,10.8878,10.6641,12.1345,10.4516,11.568,9.5939,11.0059,11.7366,13.5913,8.8755,10.8944,9.7645,9.8029,11.8953,10.8421,13.1717,13.5286,21.7702,24.2271,21.3858
AT1G07150,1.6413,1.3723,1.4927,1.4241,1.7944,1.9358,1.5188,2.8801,1.2874,2.8189,1.715,1.3118,1.4175,1.6512,1.3881,1.5252,1.829,1.4959,2.4308,2.5571,2.5184
AT1G07230,17.5034,25.6857,18.6103,33.4203,26.8624,19.7672,25.149,21.232,21.2731,23.1772,17.5902,17.6783,26.7875,21.5324,21.6941,29.9646,31.2406,26.6277,40.9349,40.4546,27.6664
AT1G07260,3.8135,4.2219,3.9143,3.5617,5.1215,4.4916,3.5708,5.1779,4.7565,5.0078,5.8688,3.377,6.5825,6.5653,4.3511,5.8307,6.0589,5.1584,5.9725,6.1784,6.6427
AT1G07310,66.4405,78.8446,47.654,77.6721,86.7572,64.1246,75.0845,69.1573,72.6503,54.4353,74.9239,63.0237,80.977,88.07,59.802,87.5838,79.3529,71.9811,89.7106,114.4049,98.2254
AT1G08930,28.3088,24.3838,29.1854,20.5014,23.4222,30.8631,15.1538,22.0925,32.0523,34.3188,31.4801,44.2688,28.9299,23.561,47.337,30.8918,33.4187,45.7215,37.643,38.4474,48.185
AT1G08940,4.147,4.0328,3.7902,3.5724,4.7875,3.9536,3.1456,4.1104,3.0158,2.5387,2.9571,3.1973,4.6792,3.2602,4.7079,4.1505,4.567,5.0616,5.9255,6.8567,5.7602
AT1G09932,0.6743,0.6963,0.924,0.543,0.6653,0.5134,0.3828,1.0437,0.613,1.0895,0.539,0.8555,0.3202,0.442,0.7795,1.1786,0.6038,1.4003,1.2329,1.109,1.6869
AT1G10020,6.3265,7.5261,5.7911,7.2869,9.1767,7.6501,6.0637,8.6339,7.2689,6.4754,6.4458,4.9659,7.7661,7.8018,6.2361,7.0475,8.4127,8.1941,11.3211,12.9866,9.0775
