gene_ID,ntf
AT1G68640,PAN
AT5G61070,HDA18
AT5G51480,SKS2
AT5G01370,ACI1
AT1G62360,STM
AT5G09220,AAP2
AT3G58990,IPMI1
AT2G22330,CYP79B3
AT4G36280,CRH1
AT2G17640,ATSERAT3;1
AT3G53450,LOG4
AT2G46650,CB5-C
AT5G17800,MYB56
AT1G05470,CVP2
AT1G18590,SOT17
AT4G04040,MEE51
AT1G32060,PRK
AT5G06850,FTIP1
AT4G39950,CYP79B2
AT3G26120,TEL1
AT3G22760,SOL1
AT3G11260,WOX5
AT3G44290,NAC060
AT4G03960,PFA-DSP4
AT4G31370,FLA5
AT2G03830,RGF8
AT1G46264,HSFB4
AT1G08860,BON3
AT3G09650,HCF152
AT2G30860,GSTF9
AT5G56720,c-NAD-MDH3
AT5G16000,NIK1
AT4G39940,AKN2
AT4G01265,RS3
AT2G43100,IPMI2
AT4G33950,OST1
AT1G69440,AGO7
AT5G43810,AGO10
AT3G18610,NUC-L2
AT3G17690,CNGC19
AT3G02210,COBL1
AT5G02490,Hsp70-2
AT5G17430,BBM
AT4G11130,RDR2
AT3G30350,RGF4
AT2G15400,NRPE3B
AT1G55580,LAS
AT5G03780,TRFL10
AT5G44560,VPS2.2
AT5G16400,TRXF2
AT1G30530,UGT78D1
AT1G01060,LHY
AT2G28900,OEP16-1
AT4G15248,BBX30
AT1G71692,AGL12
AT4G20060,EMB1895
AT4G11140,CRF1
AT1G35910,TPPD
AT2G28950,EXPA6
AT1G68825,RTFL15
AT4G31500,CYP83B1
AT5G16970,AER
AT1G11180,SCAMP2
AT5G28640,AN3
AT5G51850,TRM24
AT4G22890,PGR5-LIKE A
AT3G09600,RVE8
AT4G03210,XTH9
AT2G45740,PEX11D
AT3G23730,XTH16
AT1G74090,SOT18
AT5G28650,WRKY74
AT2G47220,DUF5
AT4G16620,UMAMIT8
AT4G35900,FD
AT2G26910,ABCG32
AT3G04520,THA2
AT1G06490,CalS7
AT3G17320,FOA1
AT5G13290,CRN
AT1G12860,SCRM2
AT1G51220,WIP5
AT3G50870,MNP
AT2G29890,VLN1
AT2G26180,IQD6
AT5G13580,ABCG6
AT4G02280,SUS3
AT2G46830,CCA1
AT2G32010,CVL1
AT5G22290,NAC089
AT5G43990,SUVR2
AT5G05860,UGT76C2
AT3G05330,ATN
AT5G48950,DHNAT2
AT5G60890,MYB34
AT1G18140,LAC1
AT5G62165,AGL42
AT3G27730,RCK
AT5G59090,SBT4.12
AT4G31840,ENODL15
AT1G19850,MP
AT4G30520,SARK
AT1G29860,WRKY71
AT5G10380,RING1
AT3G05480,RAD9
AT3G03660,WOX11
AT1G16380,ATCHX1
AT4G28950,ROP9
AT3G57670,NTT
AT1G04310,ERS2
AT4G00850,GIF3
AT5G20240,PI
AT4G35020,RAC3
AT1G20080,SYTB
AT3G17630,CHX19
AT5G24280,GMI1
AT2G39220,PLP6
AT2G03840,TET13
AT4G04620,ATG8B
AT3G60840,MAP65-4
AT4G15236,ABCG43
AT2G35950,EDA12
AT3G20880,WIP4
AT1G20610,CYCB2;3
AT3G15390,SDE5
AT5G21482,CKX7
AT5G23120,HCF136
AT3G51740,IMK2
AT2G18230,PPa2
AT1G73590,PIN1
AT5G51550,EXL3
AT2G45830,DTA2
AT3G22840,ELIP1
AT2G38860,YLS5
AT3G19050,POK2
AT5G39710,EMB2745
AT4G32880,HB-8
